BCA_train,BCA_test,mAUC_train,mAUC_test
0.9167223191408166,0.9146928589168136,0.9879696008771134,0.9742594813643716
0.9285752360876387,0.8781157813758805,0.9890122424085482,0.955016143003386
0.9228391696499422,0.9046436121560147,0.9909239332897201,0.960532476815255
0.9263819228649136,0.8807110796125679,0.990898416441028,0.9668615639026695
0.930835938020559,0.8722455432590089,0.9889387016391358,0.9657247390769715
0.9128399722570523,0.8969391896394022,0.9861137896230473,0.9707333103151671
0.9063573297715749,0.9179478093368951,0.9674682610532628,0.9724620957434565
0.9257896593917146,0.8946325270917758,0.9899432098681302,0.9626071404774453
0.9097353970936536,0.9083701321121591,0.980316742081448,0.9725652231853509
0.9079898023466414,0.9200282275406302,0.9811097898380853,0.981664970591264
0.9171448993560971,0.9068678938983687,0.9821317225917244,0.9758001841453295
0.931788163210913,0.8785682700636634,0.9909484374148176,0.9623107815878901
0.9274219048138255,0.8581993130894618,0.9907076742111736,0.956863653709862
0.9246725211555119,0.9157235275945411,0.9900345064269143,0.9766730572364875
0.915811057200143,0.8988748356926953,0.9880197638215001,0.969665842858614
0.928462113915693,0.8755204831391933,0.9905930376861898,0.9569666297164524
0.9227054522766784,0.8958694506532919,0.9912420042159589,0.9580407603263733
0.9327874090631001,0.87401733631358,0.9911522787984518,0.9611062651813892
0.9368648046181711,0.8817608291385755,0.9939307096409772,0.9588430645659561
0.9176697741191009,0.8981761132009183,0.9857779629074367,0.9749047471939037
0.9041534160775834,0.9094008007898866,0.9795095351239044,0.967358120263861
0.9094261662032747,0.9036753348234567,0.9861557466669089,0.9717559529217928
0.9237250661772278,0.8973526080188021,0.9871150135988902,0.9719843173599375
0.9226282959893873,0.8920796307401552,0.9875726321575896,0.9678207551169989
0.9213306468710437,0.8830368230084743,0.9874208088008141,0.9684523917691884
0.9148120385009116,0.9044988400055729,0.9886214162835354,0.974248123716586
0.9044782448042548,0.9162384076274934,0.9680227698122809,0.9774337167675226
0.9293889736926589,0.8713596467317233,0.9906057582517098,0.9571595582935059
0.9171654945574153,0.907257991240982,0.9840021378879015,0.9697988030553587
0.9089988157759242,0.9018211609636131,0.9815534952782473,0.9733119506684355
