BCA_train,BCA_test,mAUC_train,mAUC_test
0.8713085373166876,0.8843761168353655,0.9575298365407331,0.9645370319891935
0.8825485955889923,0.8435758115417932,0.9628361011920986,0.9409010097706058
0.8684661723818351,0.8915656593190256,0.9595453647167856,0.9606298497156045
0.8774407585091497,0.8565722921853326,0.9610899007038713,0.9514401497392283
0.8815649475730979,0.8572319443687269,0.9613586037210683,0.9539538243471624
0.8705981543065171,0.887506284565108,0.9603932509828151,0.9554690859970804
0.8636004046351319,0.9048698564999061,0.9572223566210543,0.9680695633211579
0.8669832421692805,0.8952921792751699,0.9588174719996124,0.9622553562666957
0.8716996947064275,0.8648306650432801,0.9600325320891409,0.9585757812547323
0.8711592221071314,0.8780533900307109,0.9597711358253527,0.9540985964976043
0.8607582668532349,0.9099980616281114,0.9568183366951971,0.9726332176367612
0.881137824298703,0.839415883746146,0.960259003585988,0.9533282451071253
0.8897725896042692,0.8204667841804625,0.9654858404205054,0.9366973171721577
0.870917152773992,0.8892780776196793,0.9568491159206963,0.9656823371919048
0.869521979319995,0.880297661233168,0.9599190123995228,0.9564350918000812
0.8800048610732523,0.8407542689612143,0.9641339206751591,0.9375951770884443
0.8731154633617426,0.8772922761937645,0.9629497060640753,0.9478662765693242
0.8856893637900015,0.8283350596957968,0.9624883962698455,0.9409791503873715
0.883104666024581,0.8318362439198724,0.9626014521888457,0.9458897429840022
0.8768281269875883,0.8635546711733814,0.959406782484387,0.9583736151241466
0.877327636337204,0.8611856172805853,0.9599844135213554,0.9547137267016784
0.8717924488300107,0.8807934604178403,0.9579622032625222,0.9655505884775906
0.8751546911628414,0.8640071598611642,0.958969238568149,0.9633579567137328
0.8796702647694851,0.8582816938947343,0.9603206756134645,0.9578961396112353
0.8769724448321189,0.8527200809270262,0.9607514049410311,0.9530974577041196
0.8736305705476507,0.8846647525244266,0.9590544114618352,0.9629760368775252
0.8726627475210041,0.8863741542338283,0.9582320799033237,0.9649957295244326
0.8843301562206595,0.848333000175665,0.9618204151447419,0.9508849879154627
0.8739653940043733,0.8733776735902886,0.9579949511469709,0.9616267483205826
0.8736511657489686,0.8797627917401126,0.9586040617977188,0.9647653964273383
