BCA_train,BCA_test,mAUC_train,mAUC_test
0.856944823032704,0.8954369514256119,0.9526995803727732,0.9615083259130035
0.8664392865579966,0.8500866209937791,0.9575869844385082,0.9442153228297808
0.8616612755698512,0.8753575387522942,0.9574567216831126,0.9578673669035115
0.8722934725326646,0.8405713351142126,0.960191018599284,0.9424311120802971
0.8718095610193414,0.8425069811675057,0.9577023497458915,0.9525992355545864
0.8649873248650711,0.8764072882783017,0.9565177849406677,0.9590858153579628
0.8661406561388844,0.8692610562915312,0.9562047303088675,0.9593356836092485
0.8572432262988606,0.8758100274400772,0.9576589351372307,0.9579445989084544
0.8665476385178724,0.869713544979314,0.9546653147279919,0.9639733897884146
0.8625569396742323,0.8748417501075191,0.9569278054904383,0.9518161635985875
0.8614398014380296,0.8749865222579608,0.9569123306953303,0.9561971869377964
0.865528024617323,0.8543913209398681,0.9585951365795006,0.9493383791576563
0.8757484689890785,0.8272038379763398,0.9607042612380138,0.9398115841950002
0.8662852011363705,0.8792912222040501,0.9554576620963493,0.961899028996832
0.8668978326579317,0.8576853416683324,0.9595328713042214,0.959336895091679
0.8742965072961529,0.8313022830386402,0.9615210654079364,0.9364114073185655
0.8737044709759095,0.8513426254035751,0.9632906531858959,0.9507221949638675
0.870604666024581,0.8296352832143051,0.9621205031286534,0.9359616444662512
0.8718251588556337,0.856924227831386,0.9608958174326263,0.9533919993700292
0.8700026349742863,0.8605692755940807,0.9601698176567508,0.9610779467795768
0.8627218527200808,0.8566355921423249,0.9568569621623749,0.9465577241091062
0.8658626209210901,0.8692610562915312,0.9549093053965484,0.9542206533524746
0.8650441131039998,0.8595195260680732,0.9522256162659688,0.9562142991271271
0.8624800105398972,0.8543913209398681,0.9583261685505219,0.9527446134462435
0.8631697983487495,0.857891596552121,0.9574655806483854,0.9530857971857264
0.8646371307250117,0.8789202057097167,0.9569326798142797,0.9617727319534547
0.8641170261740779,0.8786315700206558,0.9556029831997673,0.9702882419572711
0.8700435982239668,0.8324768152549868,0.959368194876035,0.9387256416313822
0.8613470473144463,0.8897738768043517,0.95528571677358,0.9552916038210156
0.8650079200663893,0.8797437108918329,0.959512522185272,0.9578210277005458
