BCA_train,BCA_test,mAUC_train,mAUC_test
0.8956416919563623,0.917143385003059,0.9810647094410826,0.9767418088644169
0.8990448975388734,0.8529263358108149,0.9830199285073932,0.9609948087977854
0.8952347095773744,0.8871776699558415,0.9821127837140416,0.9706654672990606
0.9016451931405864,0.8764054710546559,0.9822465200167185,0.9683907576005378
0.904080575696451,0.8634713817562861,0.9826122741342443,0.9697224796622387
0.8970524632466518,0.8742826509658542,0.9815601111080824,0.9729804587883963
0.894086375668587,0.8908227177185363,0.9806029358762349,0.9769709304790807
0.90372038682634,0.8463964455105489,0.9830998484889785,0.9678711830731676
0.8980408814746164,0.866539158140859,0.9822556155996537,0.9725322102891204
0.889751312944084,0.9148367224554326,0.9809852059065826,0.9770633060144046
0.8961665667193661,0.8580345514789172,0.9810911916898363,0.974236008892281
0.9014752827297121,0.8490117332073391,0.9832076041723455,0.9651844179129793
0.9140903735606075,0.8174180886441694,0.9838588990199106,0.9594213959912047
0.8915066752681918,0.9089474034902808,0.9803886549213444,0.9805629758854423
0.8985403908242321,0.8622344581947701,0.9816437033957852,0.9709103381853206
0.9023505787857311,0.8575396609060677,0.98305931115109,0.9600400092072666
0.9041215389461313,0.8607122305208769,0.9833127949202541,0.9639515831046661
0.9019847868093792,0.845409087329711,0.9819655507399129,0.9673338906152514
0.9083131167202748,0.8405271160055001,0.9845092000732946,0.9593159970197531
0.902484296158995,0.8740988085070297,0.9812834198786095,0.9751305372318839
0.8953118658646653,0.8792470030953377,0.9810220046854083,0.9737612592148382
0.8957392162920157,0.8862093926232836,0.9818326189372876,0.9742444892692944
0.9007904922858856,0.869196847722716,0.9807770296873769,0.9773533046211997
0.9037819452773386,0.8585694209719724,0.982996967129453,0.9655498313010716
0.9062691187071059,0.8544285740246051,0.981831445313683,0.9734532398068897
0.8963880408511876,0.8859207569342226,0.9812610263830587,0.976662305329917
0.8971705827836232,0.8929846081157208,0.980784573058448,0.9796897999236767
0.9067374323841367,0.8387977248359956,0.9841197747248419,0.9596833790667952
0.8982623556064379,0.8772289762367721,0.9807760832167282,0.9749235251715763
0.9005690181540643,0.8935818689539454,0.9814045397275376,0.9730622338524535
