BCA_train,BCA_test,mAUC_train,mAUC_test
0.7701842059035539,0.7812138448212155,0.9033657537389376,0.8978434098384488
0.7562903196496392,0.7029323932229673,0.8809840322829782,0.8352677679041959
0.7800378739694827,0.7899289465554525,0.9195056337718901,0.914871401140005
0.8685478717282402,0.8541208574872643,0.9483481626354587,0.9374037628644291
0.8217586787572614,0.8361236802413273,0.8981563887525971,0.89962474331716
0.8393491764948178,0.8202614379084966,0.9336874363971724,0.9333360591688019
0.7650433559274807,0.7463261795295814,0.882224230632939,0.8725836982924156
0.8377528969573618,0.8266465560583208,0.9414269067219102,0.9304227467941146
0.8239645611102024,0.7995223730517848,0.9201199026876736,0.9021281203244351
0.653355579179463,0.6575820627911343,0.8120520638360379,0.8039721480189232
0.8551980168032612,0.8392535451004622,0.9503620060937567,0.9375638299805557
0.8917965981573351,0.8780334005706082,0.9625805541169202,0.9553449090479565
0.8805812995572032,0.8059871461714128,0.9613413874199664,0.9464035629698281
0.8397765269221683,0.8185520361990949,0.9415934666266877,0.9335314107107161
0.8217586787572614,0.8361236802413273,0.9120721952667382,0.907861460926663
0.8410020171182468,0.8136500754147812,0.9424796849539939,0.9285278368375462
0.7286450477626948,0.7026028700018778,0.8706737867760636,0.8555226940946289
0.9119696735660591,0.8685181146910418,0.9637414950147498,0.9552005912034262
0.7896044206993889,0.8128922931545186,0.9191142586939008,0.9214299127126907
0.8164419366758134,0.8296128707893414,0.9264084808313192,0.9366340172151654
0.825661393689388,0.8205128205128206,0.9005084156384209,0.8751149393955915
0.8920378345963038,0.9058372252206413,0.9582097337313052,0.9589434661723818
0.8662052432959589,0.863491371216389,0.9404395390763658,0.9428104575163397
0.8881816860200985,0.8500848037701334,0.9659214724660329,0.9521293318068654
0.8635296086306008,0.8603836159116103,0.9479625326343081,0.953725914214929
0.8181450538201069,0.8040723981900454,0.9285074025362384,0.9132531634834965
0.7688312828993199,0.7338027827751428,0.9064839770090921,0.897737556561086
0.8838152004700551,0.8439883213093702,0.9560616712702998,0.9355330825564702
0.8926300980695028,0.9034681713278454,0.9634405268131349,0.9724222682585547
0.7559537546869226,0.7853128956247312,0.9014732667472302,0.9119067521973263
