BCA_train,BCA_test,mAUC_train,mAUC_test
0.8900815933416926,0.9112740554980102,0.9713177559408072,0.975510336973838
0.9028917328438945,0.881534584794684,0.9738714189336531,0.9608229297279616
0.8979390412328044,0.9012248087372113,0.9718253670791764,0.9710405725465967
0.89540030408209,0.898773374039143,0.9729340438677788,0.9697620042765331
0.8971662668774646,0.9061258609097022,0.9717399197090021,0.9717571644042232
0.8951944277865609,0.8999055043704228,0.9704088885708747,0.9767611925833046
0.8907354152658901,0.9188337058641807,0.9706783771587103,0.9775038313131864
0.8943603221331783,0.884602361179257,0.9713461216661518,0.9710454184763186
0.892980519362518,0.904354067855131,0.972162670288999,0.9721928437732833
0.8875946470648809,0.9186074615202894,0.9695199538728065,0.9816389237190087
0.8917753972148019,0.9062082417149746,0.9708673305590385,0.9755000393731791
0.8979186731844422,0.8913385063633115,0.972735947560983,0.9654106622568707
0.9051476645647446,0.8581993130894618,0.9737043290053125,0.9607175307565102
0.8764527945870965,0.9094831815951588,0.9677867484265872,0.979637100437951
0.8913075378436823,0.9035505521331176,0.9726189164652578,0.9683949977890446
0.8998181262001248,0.8838412473423105,0.9738864583522627,0.9628302046799567
0.8955858123292567,0.8922867942357667,0.9735167479874248,0.964952419027543
0.9001783150702357,0.8783220362596692,0.9725564494024362,0.9703630509973529
0.903644139150872,0.8723279240642813,0.9739846546820767,0.9613974752706148
0.8917346611180772,0.8996592705664286,0.9709221879978435,0.9745193443457086
0.8931140095828259,0.8995968792212592,0.9721250954042414,0.970764505987752
0.8880534203177718,0.9102866973171722,0.97030843017621,0.9753174083967847
0.8955086560419657,0.8992882540720953,0.9707325058151156,0.9765347968041094
0.9011209998364498,0.8881459472883995,0.9737543973026344,0.9633117689460708
0.9037982245724981,0.8849724690617675,0.9701136559813918,0.9736233016530678
0.8985926360040463,0.8975164610175241,0.9714174382295395,0.973739149660482
0.8951584619019063,0.9145290059180917,0.969618453073228,0.980111547244786
0.9053942769569985,0.8658604251091848,0.9741986706251855,0.9629527158407386
0.8962346368884285,0.9055485895315804,0.970359407085355,0.9767316626990618
0.8854585763869959,0.8816169655999563,0.9717401279325447,0.9721195490862394
