BCA_train,BCA_test,mAUC_train,mAUC_test
1.0,0.7389709668235537,1.0,0.8042282251176652
1.0,0.8015185932266017,1.0,0.8511389449199512
1.0,0.8356684657180758,1.0,0.8767513492885568
1.0,0.7189297158467959,1.0,0.789197286885097
1.0,0.7526037786137006,1.0,0.8144528339602756
1.0,0.754086935979211,1.0,0.8155652019844082
1.0,0.8228158486131555,1.0,0.8671118864598665
1.0,0.7673296504267446,1.0,0.8254972378200586
1.0,0.7757128059750314,1.0,0.8317846044812734
1.0,0.8020134837994513,1.0,0.8515101128495884
1.0,0.7887283674668509,1.0,0.8415462756001381
1.0,0.7485877143566725,1.0,0.8114407857675044
1.0,0.7584307062336828,1.0,0.8188230296752622
1.0,0.7784519677503378,1.0,0.8338389758127533
1.0,0.7813558911361888,1.0,0.8360169183521416
1.0,0.7710370895346091,1.0,0.8282778171509569
1.0,0.7379602876059289,1.0,0.8034702157044468
1.0,0.7208462810518089,1.0,0.7906347107888568
1.0,0.7436857535723588,1.0,0.807764315179269
1.0,0.7514716482824207,1.0,0.8136037362118156
1.0,0.7859692162314417,1.0,0.8394769121735813
1.0,0.7901491334871916,1.0,0.8426118501153939
1.0,0.7884830422746795,1.0,0.8413622817060095
1.0,0.7405165155342335,1.0,0.8053873866506751
1.0,0.7743935016082428,1.0,0.8307951262061822
1.0,0.7841974231768704,1.0,0.8381480673826528
1.0,0.8202205503764682,1.0,0.8651654127823512
1.0,0.7782647937148292,1.0,0.8336985952861218
1.0,0.7723754747496775,1.0,0.8292816060622581
1.0,0.7958745994536214,1.0,0.8469059495902161
