BCA_train,BCA_test,mAUC_train,mAUC_test
1.0,0.801767249995457,1.0,0.8513254374965928
1.0,0.8672612016694229,1.0,0.9004459012520671
1.0,0.8611456383603796,1.0,0.8958592287702848
1.0,0.7719029966017917,1.0,0.8289272474513439
1.0,0.8149275836377182,1.0,0.8611956877282888
1.0,0.784528460750998,1.0,0.8383963455632485
1.0,0.8389615778347174,1.0,0.8792211833760382
1.0,0.7944147631248978,1.0,0.8458110723436733
1.0,0.8476533585321678,1.0,0.885740018899126
1.0,0.8464197665473358,1.0,0.8848148249105018
1.0,0.8333608945586267,1.0,0.87502067091897
1.0,0.8044449290374166,1.0,0.8533336967780625
1.0,0.807738949765881,1.0,0.8558042123244108
1.0,0.8360185841404836,1.0,0.8770139381053627
1.0,0.7721916322908527,1.0,0.8291437242181395
1.0,0.806587738586321,1.0,0.8549408039397409
1.0,0.7885445250080262,1.0,0.8414083937560196
1.0,0.7876195581723575,1.0,0.8407146686292681
1.0,0.8173166269906171,1.0,0.8629874702429629
1.0,0.7837049555688819,1.0,0.8377787166766613
1.0,0.8222809791201003,1.0,0.8667107343400753
1.0,0.8359761822554169,1.0,0.8769821366915626
1.0,0.8148028009473792,1.0,0.8611021007105345
1.0,0.7759190608588199,1.0,0.8319392956441148
1.0,0.7863002538055692,1.0,0.8397251903541769
1.0,0.8215389461314336,1.0,0.8661542095985754
1.0,0.8338957640516819,1.0,0.8754218230387615
1.0,0.8203020225699177,1.0,0.8652265169274381
1.0,0.8197047617316929,1.0,0.8647785712987698
1.0,0.8581793236293591,1.0,0.8936344927220192
