BCA_train,BCA_test,mAUC_train,mAUC_test
0.9101831155693665,0.9146928589168136,0.9853528461508173,0.975435527933756
0.9222419088117175,0.8832439865040858,0.9867122240848764,0.956802473847123
0.9195900494890573,0.9120784798318463,0.9896584357793164,0.9617501680931873
0.9192864217049191,0.8743259614627439,0.9887208619546058,0.9659234221955697
0.9324166197217224,0.8779710092254387,0.9908348136134281,0.9656072252812153
0.914086057654449,0.8967129452955108,0.9870253449696221,0.9722347913524384
0.904369892844379,0.9145290059180917,0.9680056008347114,0.9710190687334558
0.9261964146177469,0.8989372270378649,0.9908712716628202,0.9623765045097433
0.9109043262037592,0.9066607304027573,0.9816197482236638,0.971057684735927
0.9088445032013422,0.9177215649930037,0.9830827079055288,0.9809300550618764
0.9149153930957618,0.905158492188967,0.9801395249171648,0.9750982815121724
0.9318037610472053,0.8802776717730652,0.9914426559935064,0.9631679054074519
0.9336672481782333,0.8503310375741275,0.9920571615269523,0.9552516249008098
0.9217170340487137,0.9257536935070599,0.9896272779655576,0.978304772635035
0.9108681331661487,0.900584237402097,0.9861530586902664,0.969902687673772
0.9186941582317202,0.8740373257736831,0.9882648807901289,0.9586807259202722
0.9171184738955823,0.8992882540720953,0.9898961986710036,0.9585080896739294
0.9374882637639548,0.8757267380229817,0.9917544044958113,0.9615557251630958
0.9383273667823633,0.878342025719772,0.9920265621308765,0.9600334974892025
0.9141629867887842,0.9001117592542114,0.9860225593172084,0.9747805702447799
0.9028917328438945,0.9047250843494643,0.9850879479456287,0.9698932986849359
0.9101315518484193,0.9119960990265739,0.9855967232428963,0.9728762712993756
0.9281996765341911,0.8907412455250867,0.9874384983372404,0.9699423637233702
0.9252851526770733,0.8854682682464398,0.9877126151665486,0.9669692344036781
0.9165008450089953,0.880730160460848,0.9890746242890112,0.9717559529217926
0.9131386026761646,0.9047250843494643,0.9879205926269178,0.9738356139490087
0.9044782448042548,0.9162384076274934,0.9682330471963269,0.9775095858547312
0.9288123080557523,0.869876489366213,0.9909747871576805,0.9569692041166173
0.9167947052160376,0.9009352644363275,0.9849473308013351,0.971944944180947
0.9082162738434887,0.9009352644363275,0.9814830305384433,0.9733681331661487
